,eda_EDA_MAVFD,eda_EDA_Range,eda_EDA_Tonic_SD,eda_EDA_Phasic__number_peaks__n_1,eda_EDA_Phasic__number_peaks__n_5,eda_EDA_Sympathetic,eda_cc_mean,eda_cc_std,eda_cc_median,eda_cc_iqr,eda_cc_mad,eda_cc_rms,eda_cc_mean_abs_diff,eda_cc_slope,eda_tonic_mean,eda_tonic_std,eda_tonic_median,eda_tonic_iqr,eda_tonic_mad,eda_tonic_rms,eda_tonic_mean_abs_diff,eda_tonic_slope,eda_phasic_mean,eda_phasic_std,eda_phasic_rms,eda_phasic_peak_rate,eda_phasic_interpeak_mean_sec,eda_phasic_peak_prom_mean,eda_phasic_dom_freq_hz,eda_phasic_spectral_entropy,eda_stress_skin_mean,eda_stress_skin_std,eda_stress_skin_median,eda_stress_skin_iqr,eda_stress_skin_mad,eda_stress_skin_rms,eda_stress_skin_mean_abs_diff,eda_stress_skin_slope
eda_cc_mad,0.9987711890042563,0.9988870754670327,0.9993058929759647,0.04298466099008517,0.028699080008681054,0.03682939624260526,0.04331271817517376,0.9992968267745439,0.04331359497868276,0.9997202739123063,0.0,0.043311540477344465,0.9987711890042563,0.0032590831792928664,0.04331278029367762,0.9993058929759646,0.04331360085540083,0.9997227101577241,0.999999614720939,0.04331160312227299,0.9988875496769932,0.003264209745538859,0.004199357036226449,0.9817922720082625,0.9821581777642833,0.04298466099008492,0.0455309079559873,0.8453819459602324,0.02530244104891409,0.02151370103021193,0.036829396242605256,0.09538507106825304,0.036815185754710926,0.09588272143064772,0.09474299068729507,0.03718557883167588,0.09360684884192073,0.012164254773630529
eda_cc_rms,0.04253970249710148,0.043359067443200824,0.04324937905771052,0.042172020689750345,0.04829509568689838,0.1495518138861089,0.999999999999255,0.04324432745171287,0.999999994663206,0.04322481242102118,0.043311540477344465,0.0,0.04253970249710151,0.4240911644860458,0.9999999999910224,0.043249379057710535,0.9999999944391584,0.043229807208427125,0.043344695587171175,0.9999999999922717,0.04269446064011878,0.4241029637130522,0.4268560791380324,0.039763587715594635,0.0398231043569553,0.04217202068974813,0.04780245369642122,0.18499867532670813,0.017118278226918165,0.04913643684800279,0.1495518138861089,0.07990359372666883,0.1493937662822387,0.07983188083954948,0.07864929126537579,0.14961662920133856,0.07622810366356256,0.220972161392374
eda_cc_mean_abs_diff,1.0,0.9999117925971546,0.9997295698100691,0.04793320090759891,0.03500505738176441,0.036290802216957636,0.04254087999143961,0.9997284767745036,0.04254261612952899,0.9993570179988199,0.9987711890042563,0.04253970249710151,0.0,0.0020166304542818315,0.04254094585492066,0.9997295698100692,0.04254264168775053,0.999346441649634,0.998733001827289,0.04253976889461883,0.9999941355174815,0.0020223018345649066,0.0030084533536171984,0.9884751375722176,0.9888134710543637,0.04793320090759857,0.05012522105289066,0.8556772807498654,0.007485301662673859,0.03155527600846532,0.036290802216957616,0.09467633237455711,0.036257666893910794,0.0948281021531045,0.09306540823001025,0.03664510384820307,0.09310927268464109,0.012075020209077386
eda_cc_slope,0.0020166304542818315,0.00228640333267264,0.0022104473916392444,0.059824133146087186,0.050819770308581896,0.15790482931473251,0.42409104727326746,0.002212936660138964,0.4240903478805586,0.002425365363484422,0.0032590831792928664,0.4240911644860458,0.0020166304542818315,0.0,0.4240874947807287,0.0022104473916392396,0.42409034115006466,0.0024290445990335584,0.003279589579215536,0.4240876119366439,0.002038782077672215,0.9999999899988727,0.9981899250857418,0.00023174492342080386,0.0002501019714741714,0.0598241331460827,0.061080187221920455,0.36634033236135244,0.04730381522000592,0.050330759195723114,0.15790482931473254,0.2150669024550784,0.15775937232103165,0.21444046206530998,0.2127245139233575,0.15829762943456374,0.21613900856440024,0.06347788464533329
eda_tonic_mean,0.04254094585492066,0.04336031069494582,0.04325062371368047,0.042171954443359694,0.04829501047326302,0.14955149412854302,0.9999999999922717,0.04324557210294095,0.9999999946658816,0.04322605652918895,0.04331278029367762,0.9999999999910224,0.04254094585492066,0.4240874947807287,0.0,0.04325062371368045,0.9999999944420245,0.043231051316404645,0.04334593535297154,0.9999999999992553,0.04269570409935968,0.42409929401488555,0.42685240786578565,0.039764820176399075,0.0398243372549038,0.042171954443357564,0.047802391490576204,0.18499838184123382,0.017118092430520586,0.04913636459296654,0.14955149412854307,0.07990303245572923,0.1493934467852364,0.07983132333571048,0.07864873723494872,0.14961630865101985,0.07622752720347131,0.22097236364417128
eda_tonic_std,0.9997295698100692,0.9998299790436252,1.0,0.05333081529672447,0.03511268502606885,0.03627304432658021,0.04325055680900514,0.9999998978188411,0.043252614280438896,0.9998593183170995,0.9993058929759646,0.043249379057710535,0.9997295698100692,0.0022104473916392396,0.04325062371368045,0.0,0.04325264486317877,0.9998551178474644,0.9992759628160847,0.0432494464995755,0.9997724683551713,0.002216694175062057,0.003071880353241348,0.9871472320951226,0.9874722168782905,0.053330815296724184,0.05600684126839114,0.851923639238972,0.008266570301505611,0.03264981499551884,0.03627304432658022,0.09461306452778495,0.03625248072508846,0.0949424047054875,0.09342356094488696,0.036629607577891334,0.09296297092300305,0.012547536465626927
eda_tonic_median,0.04254264168775053,0.043362028971878665,0.04325264486317877,0.042163810828137006,0.048280168447160286,0.14954953986810568,0.9999999944423226,0.04324759230916908,0.999999999997678,0.043227934815011214,0.04331360085540083,0.9999999944391584,0.04254264168775053,0.42409034115006466,0.9999999944420245,0.04325264486317877,0.0,0.04323293106814298,0.0433467435630955,0.9999999944393642,0.04269742412734741,0.4241021507656815,0.4268542517550706,0.039766828315966674,0.039826354991478866,0.04216381082813487,0.04780693835082269,0.18499889515987017,0.017104368876023294,0.04912972830277463,0.14954953986810562,0.07990203272528178,0.14939150901268902,0.07983104594465296,0.07864944618398192,0.14961435027276263,0.07622585032709568,0.22097225518347888
eda_tonic_iqr,0.999346441649634,0.9994649763365334,0.9998551178474644,0.053507420824613315,0.03471787290616674,0.036293142690957125,0.04323098516719445,0.9998514644132123,0.04323290347147514,0.999999954794373,0.9997227101577241,0.043229807208427125,0.999346441649634,0.0024290445990335584,0.043231051316404645,0.9998551178474644,0.04323293106814298,0.0,0.9997048750416417,0.04322987389085881,0.9994291146301999,0.002435106692014317,0.0032373025854157485,0.98474313628779,0.9850806496778117,0.053507420824612996,0.05661591031822024,0.8492522364382279,0.012830228514935918,0.03108504479735358,0.036293142690957125,0.0948706554901982,0.03627707748614628,0.0953150630679364,0.09395865695897264,0.03665119329677227,0.09312503459355687,0.012359151131262926
eda_tonic_mad,0.998733001827289,0.998851518441166,0.9992759628160847,0.04269346134827851,0.028481585211589548,0.036846228015415296,0.043345873257847695,0.9992667166123391,0.04334673796137842,0.9997022682686629,0.999999614720939,0.043344695587171175,0.998733001827289,0.003279589579215536,0.04334593535297154,0.9992759628160847,0.0433467435630955,0.9997048750416417,0.0,0.043344758208498264,0.9988511205837051,0.0032847079029534646,0.004218887388709425,0.9816588135037607,0.9820256104163612,0.0426934613482783,0.045242513785684606,0.8451803916615823,0.02575057342023249,0.02120484042825163,0.03684622801541528,0.09539891470462251,0.036832305262825916,0.0959003373968437,0.0947711543700494,0.03720238820464043,0.09361908306937228,0.012156428813770097
eda_tonic_rms,0.04253976889461883,0.04335913417929049,0.0432494464995755,0.042171890715741366,0.04829497569270612,0.14955140661899716,0.9999999999920316,0.043244394882930616,0.9999999946632605,0.04322487910031784,0.04331160312227299,0.9999999999922717,0.04253976889461883,0.4240876119366439,0.9999999999992553,0.0432494464995755,0.9999999944393642,0.04322987389085881,0.043344758208498264,0.0,0.04269452715168528,0.424099411164747,0.4268525238530366,0.03976365738193126,0.03982317415190147,0.0421718907157391,0.047802327422554636,0.18499742390695414,0.017118104102772255,0.049136332936960896,0.14955140661899718,0.07990281895272519,0.14939335937179374,0.07983110974939805,0.07864852627314044,0.14961622043720899,0.07622731613102447,0.22097229498494111
eda_tonic_mean_abs_diff,0.9999941355174815,0.9999303618546753,0.9997724683551713,0.047479930948705555,0.034763817278890476,0.03628684020177145,0.042695638120663515,0.9997703500428662,0.04269739831251816,0.9994390035127776,0.9988875496769932,0.04269446064011878,0.9999941355174815,0.002038782077672215,0.04269570409935968,0.9997724683551713,0.04269742412734741,0.9994291146301999,0.9988511205837051,0.04269452715168528,0.0,0.0020445545581490657,0.003048010049395765,0.988035157128179,0.9883792350768006,0.04747993094870529,0.04999717625753856,0.8551042902201214,0.008656879734336563,0.031098522860932253,0.03628684020177146,0.09454601006577097,0.03625545995037432,0.0947213449651429,0.09299823113562614,0.03664042363092881,0.09297380609166606,0.01216367526277876
eda_tonic_slope,0.0020223018345649066,0.002292501002184421,0.002216694175062057,0.059791368149780116,0.05079581231536646,0.15790292496529448,0.42410284650633234,0.002219178385952651,0.4241021573013395,0.002431424480361024,0.003264209745538859,0.4241029637130522,0.0020223018345649066,0.9999999899988727,0.42409929401488555,0.002216694175062057,0.4241021507656815,0.002435106692014317,0.0032847079029534646,0.424099411164747,0.0020445545581490657,0.0,0.9981947105302381,0.00022598653789118048,0.0002442939484040082,0.059791368149775564,0.061062922691130096,0.36633995132362157,0.04728277929030399,0.05031067054089992,0.15790292496529454,0.2150607590687276,0.1577575006460982,0.21443488007766265,0.2127200973100615,0.15829568321322374,0.21613260131620327,0.06347864194370574
eda_phasic_mean,0.0030084533536171984,0.003280248007891145,0.003071880353241348,0.04794763769894775,0.048225987354010756,0.1575244262559212,0.4268559630965346,0.003072238977809406,0.42685428670824516,0.003235895874315254,0.004199357036226449,0.4268560791380324,0.0030084533536171984,0.9981899250857418,0.42685240786578565,0.003071880353241348,0.4268542517550706,0.0032373025854157485,0.004218887388709425,0.4268525238530366,0.003048010049395765,0.9981947105302381,0.0,0.0010884134149196818,0.0010838445678205478,0.047947637698943245,0.0494826261588292,0.3669304492955235,0.047407532903904044,0.04490168914995786,0.1575244262559212,0.2123482565045682,0.15737486431867576,0.21146965860500225,0.2095611918460884,0.15789655443615036,0.21371382332957525,0.06359791046451138
eda_phasic_std,0.9884751375722176,0.9879869575363756,0.9871472320951226,0.08943779220426189,0.06259059962050174,0.03508304989465184,0.03976475111745996,0.9872053302121021,0.03976679384342067,0.9847786832680563,0.9817922720082625,0.039763587715594635,0.9884751375722176,0.00023174492342080386,0.039764820176399075,0.9871472320951226,0.039766828315966674,0.98474313628779,0.9816588135037607,0.03976365738193126,0.988035157128179,0.00022598653789118048,0.0010884134149196818,0.0,0.9999955676318728,0.0894377922042615,0.07795370053377192,0.8703316464707993,0.06213687819658382,0.07408183490718721,0.03508304989465182,0.09459952213968527,0.035000835683142356,0.09377342003541923,0.09040942034270576,0.0354535752956689,0.09363091807873059,0.01235202438555276
eda_phasic_rms,0.9888134710543637,0.988333357545231,0.9874722168782905,0.0881774184823678,0.06227366220710413,0.03508520636168617,0.03982426806565819,0.9875290350219865,0.039826320423429214,0.9851161586307008,0.9821581777642833,0.0398231043569553,0.9888134710543637,0.0002501019714741714,0.0398243372549038,0.9874722168782905,0.039826354991478866,0.9850806496778117,0.9820256104163612,0.03982317415190147,0.9883792350768006,0.0002442939484040082,0.0010838445678205478,0.9999955676318728,0.0,0.08817741848236774,0.07704876315382647,0.8704965133403543,0.060887262834754735,0.0734051279929235,0.035085206361686154,0.09452231004753663,0.035003797572868346,0.09370656991211317,0.09036493426076299,0.03545493496679285,0.0935530584529303,0.012339417343708301
eda_phasic_peak_rate,0.04793320090759857,0.04552067297106035,0.053330815296724184,0.9999999999999993,0.8320758392837865,0.012936744985014854,0.04217208463009638,0.0534734487741881,0.042163929992730796,0.05347033469095256,0.04298466099008492,0.04217202068974813,0.04793320090759857,0.0598241331460827,0.042171954443357564,0.053330815296724184,0.04216381082813487,0.053507420824612996,0.0426934613482783,0.0421718907157391,0.04747993094870529,0.059791368149775564,0.047947637698943245,0.0894377922042615,0.08817741848236774,0.0,0.9750354130918778,0.26322434559377583,0.8142516703867434,0.9063064479887352,0.012936744985014825,0.039741559364216576,0.012692738237157438,0.03410359209336464,0.012066431142948626,0.013475804559276789,0.042781971240247185,0.006690432392473895
eda_phasic_interpeak_mean_sec,0.05012522105289066,0.04836430802724182,0.05600684126839114,0.9750354130918805,0.8176308417876988,0.008478495932553258,0.04780251790214902,0.05609766499954854,0.0478068077025159,0.056569537555551934,0.0455309079559873,0.04780245369642122,0.05012522105289066,0.061080187221920455,0.047802391490576204,0.05600684126839114,0.04780693835082269,0.05661591031822024,0.045242513785684606,0.047802327422554636,0.04999717625753856,0.061062922691130096,0.0494826261588292,0.07795370053377192,0.07704876315382647,0.9750354130918778,0.0,0.2593113145920482,0.8165884414844886,0.8909220883276393,0.008478495932553258,0.03081708500417769,0.008268877321307256,0.025923133370173285,0.004098605340374815,0.0089587665600743,0.03310183989346319,0.006419788037030243
eda_phasic_peak_prom_mean,0.8556772807498654,0.8537900582992793,0.851923639238972,0.2632243455937781,0.340825519418819,0.07753725172434316,0.18499963371211017,0.8519399990500166,0.18499890086565288,0.8493057557265058,0.8453819459602324,0.18499867532670813,0.8556772807498654,0.36634033236135244,0.18499838184123382,0.851923639238972,0.18499889515987017,0.8492522364382279,0.8451803916615823,0.18499742390695414,0.8551042902201214,0.36633995132362157,0.3669304492955235,0.8703316464707993,0.8704965133403543,0.26322434559377583,0.2593113145920482,0.0,0.2310556820578618,0.3338894655032548,0.07753725172434316,0.14963045194119956,0.07735151869076341,0.1475936537753584,0.14026532524246774,0.07803153489967786,0.15028209891533567,0.019521193716587993
eda_phasic_dom_freq_hz,0.007485301662673859,0.010588102285863878,0.008266570301505611,0.8142516703867437,0.6655464299614816,0.0005501614352373066,0.017118266761102712,0.008094817053112564,0.017104621872032565,0.012781622378304503,0.02530244104891409,0.017118278226918165,0.007485301662673859,0.04730381522000592,0.017118092430520586,0.008266570301505611,0.017104368876023294,0.012830228514935918,0.02575057342023249,0.017118104102772255,0.008656879734336563,0.04728277929030399,0.047407532903904044,0.06213687819658382,0.060887262834754735,0.8142516703867434,0.8165884414844886,0.2310556820578618,0.0,0.7470801041610843,0.0005501614352373123,0.009396940134594368,0.00017173035036693976,0.0008957245179499077,0.02724601573874261,0.0007892872769911824,0.015349225244490856,0.007891707127263477
eda_phasic_spectral_entropy,0.03155527600846532,0.029364327292177275,0.03264981499551884,0.9063064479887368,0.9792032536026126,0.002545826882702117,0.04913646861426931,0.032716221844064884,0.04912983301141705,0.03109063551343577,0.02151370103021193,0.04913643684800279,0.03155527600846532,0.050330759195723114,0.04913636459296654,0.03264981499551884,0.04912972830277463,0.03108504479735358,0.02120484042825163,0.049136332936960896,0.031098522860932253,0.05031067054089992,0.04490168914995786,0.07408183490718721,0.0734051279929235,0.9063064479887352,0.8909220883276393,0.3338894655032548,0.7470801041610843,0.0,0.002545826882702112,0.011518783368988792,0.002338342358005872,0.005927264124868461,0.0140758689297549,0.002966207659890631,0.016279121385511276,0.007558259296073571
eda_stress_skin_mean,0.036290802216957616,0.036423952719245804,0.03627304432658022,0.01293674498501499,0.006056257306721762,1.0,0.14955190142014743,0.03627632316979479,0.14954958607620966,0.036293339893215676,0.036829396242605256,0.1495518138861089,0.036290802216957616,0.15790482931473254,0.14955149412854307,0.03627304432658022,0.14954953986810562,0.036293142690957125,0.03684622801541528,0.14955140661899718,0.03628684020177146,0.15790292496529454,0.1575244262559212,0.03508304989465182,0.035085206361686154,0.012936744985014825,0.008478495932553258,0.07753725172434316,0.0005501614352373123,0.002545826882702112,0.0,0.7071560703563958,0.9999928803437891,0.7067294131423077,0.7079134046200093,0.9999921170142472,0.7153586912399926,0.395617013369728
eda_stress_skin_std,0.09467633237455711,0.09427660310064898,0.09461306452778495,0.039741559364217485,0.011889239175643206,0.7071560703563958,0.07990380732964895,0.09462803980581691,0.07990205952123454,0.09486862472918046,0.09538507106825304,0.07990359372666883,0.09467633237455711,0.2150669024550784,0.07990303245572923,0.09461306452778495,0.07990203272528178,0.0948706554901982,0.09539891470462251,0.07990281895272519,0.09454601006577097,0.2150607590687276,0.2123482565045682,0.09459952213968527,0.09452231004753663,0.039741559364216576,0.03081708500417769,0.14963045194119956,0.009396940134594368,0.011518783368988792,0.7071560703563958,0.0,0.7067195876192457,0.9992860444298368,0.9947714931104882,0.7093641365307267,0.9984032661636354,0.5805376066970592
eda_stress_skin_median,0.036257666893910794,0.03640034221593749,0.03625248072508846,0.012692738237157594,0.0058782234286640315,0.9999928803437891,0.1493938537199303,0.03625566207995612,0.14939155496935017,0.03627711111873245,0.036815185754710926,0.1493937662822387,0.036257666893910794,0.15775937232103165,0.1493934467852364,0.03625248072508846,0.14939150901268902,0.03627707748614628,0.036832305262825916,0.14939335937179374,0.03625545995037432,0.1577575006460982,0.15737486431867576,0.035000835683142356,0.035003797572868346,0.012692738237157438,0.008268877321307256,0.07735151869076341,0.00017173035036693976,0.002338342358005872,0.9999928803437891,0.7067195876192457,0.0,0.7063639451431696,0.7077176704801719,0.9999798068257014,0.7149835500475485,0.3954793528428191
eda_stress_skin_iqr,0.0948281021531045,0.09450479291494358,0.0949424047054875,0.03410359209336552,0.006706008066630151,0.7067294131423077,0.07983209452314345,0.0949556541828868,0.07983105834999026,0.0953103974278473,0.09588272143064772,0.07983188083954948,0.0948281021531045,0.21444046206530998,0.07983132333571048,0.0949424047054875,0.07983104594465296,0.0953150630679364,0.0959003373968437,0.07983110974939805,0.0947213449651429,0.21443488007766265,0.21146965860500225,0.09377342003541923,0.09370656991211317,0.03410359209336464,0.025923133370173285,0.1475936537753584,0.0008957245179499077,0.005927264124868461,0.7067294131423077,0.9992860444298368,0.7063639451431696,0.0,0.997413654717393,0.7089241166012928,0.996694028015162,0.5788929550206878
eda_stress_skin_mad,0.09306540823001025,0.09291936279741908,0.09342356094488696,0.012066431142949483,0.011741585102489686,0.7079134046200093,0.07864950232014274,0.09343377582351864,0.07864943994787907,0.09395017694229876,0.09474299068729507,0.07864929126537579,0.09306540823001025,0.2127245139233575,0.07864873723494872,0.09342356094488696,0.07864944618398192,0.09395865695897264,0.0947711543700494,0.07864852627314044,0.09299823113562614,0.2127200973100615,0.2095611918460884,0.09040942034270576,0.09036493426076299,0.012066431142948626,0.004098605340374815,0.14026532524246774,0.02724601573874261,0.0140758689297549,0.7079134046200093,0.9947714931104882,0.7077176704801719,0.997413654717393,0.0,0.7100243639802833,0.9917421333156748,0.5769687064801607
eda_stress_skin_rms,0.03664510384820307,0.03677587169121423,0.036629607577891334,0.013475804559276983,0.006458176352545879,0.9999921170142472,0.14961671744011357,0.03663299859896977,0.1496143965346106,0.03665135695716293,0.03718557883167588,0.14961662920133856,0.03664510384820307,0.15829762943456374,0.14961630865101985,0.036629607577891334,0.14961435027276263,0.03665119329677227,0.03720238820464043,0.14961622043720899,0.03664042363092881,0.15829568321322374,0.15789655443615036,0.0354535752956689,0.03545493496679285,0.013475804559276789,0.0089587665600743,0.07803153489967786,0.0007892872769911824,0.002966207659890631,0.9999921170142472,0.7093641365307267,0.9999798068257014,0.7089241166012928,0.7100243639802833,0.0,0.7175125254824072,0.3970347476609615
eda_stress_skin_mean_abs_diff,0.09310927268464109,0.09273210055480081,0.09296297092300305,0.042781971240248094,0.01689685131473182,0.7153586912399926,0.07622831483450934,0.09297849995547683,0.0762258918334832,0.09312455313212349,0.09360684884192073,0.07622810366356256,0.09310927268464109,0.21613900856440024,0.07622752720347131,0.09296297092300305,0.07622585032709568,0.09312503459355687,0.09361908306937228,0.07622731613102447,0.09297380609166606,0.21613260131620327,0.21371382332957525,0.09363091807873059,0.0935530584529303,0.042781971240247185,0.03310183989346319,0.15028209891533567,0.015349225244490856,0.016279121385511276,0.7153586912399926,0.9984032661636354,0.7149835500475485,0.996694028015162,0.9917421333156748,0.7175125254824072,0.0,0.5784052952791747
